Run,Step,Agent,Reward
0,0,Lee,0.68
0,0,Shin,0.08
0,0,Kang,0.64
0,0,Lim,0.76
0,0,Ko,0.82
0,1,Lee,0.68
0,1,Shin,0.06
0,1,Kang,0.96
0,1,Lim,0.38
0,1,Ko,0.84
0,2,Lee,0.7
0,2,Shin,0.04
0,2,Kang,1.3
0,2,Lim,0.5
0,2,Ko,0.82
0,3,Lee,0.76
0,3,Shin,0.1
0,3,Kang,0.84
0,3,Lim,0.26
0,3,Ko,0.92
0,4,Lee,0.84
0,4,Shin,0.1
0,4,Kang,1.14
0,4,Lim,0.32
0,4,Ko,0.9
0,5,Lee,0.58
0,5,Shin,0.08
0,5,Kang,0.96
0,5,Lim,0.48
0,5,Ko,0.84
0,6,Lee,0.64
0,6,Shin,0.04
0,6,Kang,0.86
0,6,Lim,0.58
0,6,Ko,0.72
0,7,Lee,0.64
0,7,Shin,0.14
0,7,Kang,1.04
0,7,Lim,0.36
0,7,Ko,0.9
0,8,Lee,0.78
0,8,Shin,0.06
0,8,Kang,1.08
0,8,Lim,0.44
0,8,Ko,0.86
0,9,Lee,0.62
0,9,Shin,0.1
0,9,Kang,0.96
0,9,Lim,0.54
0,9,Ko,0.72
0,10,Lee,0.72
0,10,Shin,0.1
0,10,Kang,0.88
0,10,Lim,0.48
0,10,Ko,0.74
0,11,Lee,0.56
0,11,Shin,0.16
0,11,Kang,0.92
0,11,Lim,0.5
0,11,Ko,0.78
0,12,Lee,0.66
0,12,Shin,0.24
0,12,Kang,0.96
0,12,Lim,0.5
0,12,Ko,0.8
0,13,Lee,0.68
0,13,Shin,0.14
0,13,Kang,0.98
0,13,Lim,0.4
0,13,Ko,0.86
0,14,Lee,0.68
0,14,Shin,0.12
0,14,Kang,0.82
0,14,Lim,0.48
0,14,Ko,0.76
0,15,Lee,0.62
0,15,Shin,0.08
0,15,Kang,1.28
0,15,Lim,0.54
0,15,Ko,0.74
0,16,Lee,0.68
0,16,Shin,0.08
0,16,Kang,1.1
0,16,Lim,0.42
0,16,Ko,0.94
0,17,Lee,0.58
0,17,Shin,0.14
0,17,Kang,0.94
0,17,Lim,0.38
0,17,Ko,0.74
0,18,Lee,0.76
0,18,Shin,0.04
0,18,Kang,0.9
0,18,Lim,0.48
0,18,Ko,1.06
0,19,Lee,0.74
0,19,Shin,0.06
0,19,Kang,0.88
0,19,Lim,0.4
0,19,Ko,0.82
0,20,Lee,0.66
0,20,Shin,0.16
0,20,Kang,0.84
0,20,Lim,0.22
0,20,Ko,0.9
0,21,Lee,0.8
0,21,Shin,0.12
0,21,Kang,1.14
0,21,Lim,0.32
0,21,Ko,0.92
0,22,Lee,0.58
0,22,Shin,0.12
0,22,Kang,1.02
0,22,Lim,0.54
0,22,Ko,0.72
0,23,Lee,0.72
0,23,Shin,0.14
0,23,Kang,1.0
0,23,Lim,0.5
0,23,Ko,0.8
0,24,Lee,0.5
0,24,Shin,0.02
0,24,Kang,0.96
0,24,Lim,0.56
0,24,Ko,0.76
0,25,Lee,0.48
0,25,Shin,0.08
0,25,Kang,0.98
0,25,Lim,0.54
0,25,Ko,0.72
0,26,Lee,0.58
0,26,Shin,0.06
0,26,Kang,1.0
0,26,Lim,0.6
0,26,Ko,0.72
0,27,Lee,0.76
0,27,Shin,0.08
0,27,Kang,0.82
0,27,Lim,0.42
0,27,Ko,0.7
0,28,Lee,0.7
0,28,Shin,0.12
0,28,Kang,0.9
0,28,Lim,0.42
0,28,Ko,0.88
0,29,Lee,0.52
0,29,Shin,0.04
0,29,Kang,0.98
0,29,Lim,0.54
0,29,Ko,0.82
0,30,Lee,0.6
0,30,Shin,0.02
0,30,Kang,0.9
0,30,Lim,0.46
0,30,Ko,0.92
0,31,Lee,0.74
0,31,Shin,0.0
0,31,Kang,0.94
0,31,Lim,0.42
0,31,Ko,0.82
0,32,Lee,0.56
0,32,Shin,0.04
0,32,Kang,0.94
0,32,Lim,0.52
0,32,Ko,0.76
0,33,Lee,0.8
0,33,Shin,0.04
0,33,Kang,1.0
0,33,Lim,0.32
0,33,Ko,0.94
0,34,Lee,0.64
0,34,Shin,0.04
0,34,Kang,1.08
0,34,Lim,0.52
0,34,Ko,0.8
0,35,Lee,0.7
0,35,Shin,0.08
0,35,Kang,0.94
0,35,Lim,0.54
0,35,Ko,0.86
0,36,Lee,0.72
0,36,Shin,0.08
0,36,Kang,0.92
0,36,Lim,0.64
0,36,Ko,0.8
0,37,Lee,0.46
0,37,Shin,0.04
0,37,Kang,0.94
0,37,Lim,0.52
0,37,Ko,0.72
0,38,Lee,0.58
0,38,Shin,0.04
0,38,Kang,1.04
0,38,Lim,0.54
0,38,Ko,0.76
0,39,Lee,0.7
0,39,Shin,0.06
0,39,Kang,1.06
0,39,Lim,0.68
0,39,Ko,0.78
0,40,Lee,0.8
0,40,Shin,0.06
0,40,Kang,0.88
0,40,Lim,0.6
0,40,Ko,0.84
0,41,Lee,0.82
0,41,Shin,0.0
0,41,Kang,1.02
0,41,Lim,0.52
0,41,Ko,0.8
0,42,Lee,0.74
0,42,Shin,0.04
0,42,Kang,0.8
0,42,Lim,0.52
0,42,Ko,0.76
0,43,Lee,0.66
0,43,Shin,0.02
0,43,Kang,0.92
0,43,Lim,0.48
0,43,Ko,0.86
0,44,Lee,0.4
0,44,Shin,0.08
0,44,Kang,0.94
0,44,Lim,0.7
0,44,Ko,0.66
0,45,Lee,0.68
0,45,Shin,0.02
0,45,Kang,0.88
0,45,Lim,0.58
0,45,Ko,0.9
0,46,Lee,0.72
0,46,Shin,0.08
0,46,Kang,0.96
0,46,Lim,0.64
0,46,Ko,0.88
0,47,Lee,0.76
0,47,Shin,0.06
0,47,Kang,1.04
0,47,Lim,0.54
0,47,Ko,0.8
0,48,Lee,0.8
0,48,Shin,0.0
0,48,Kang,0.8
0,48,Lim,0.48
0,48,Ko,0.92
0,49,Lee,0.74
0,49,Shin,0.0
0,49,Kang,0.72
0,49,Lim,0.72
