Run,Step,Agent,Probability of Winning
0,0,Lee,0.11333333333333336
0,0,Shin,0.5366666666666667
0,0,Kang,0.2593333333333333
0,0,Lim,0.39666666666666656
0,0,Ko,0.0833333333333333
0,1,Lee,0.12333333333333338
0,1,Shin,0.4780000000000001
0,1,Kang,0.4340000000000001
0,1,Lim,0.3786666666666668
0,1,Ko,0.04666666666666667
0,2,Lee,0.12133333333333336
0,2,Shin,0.5326666666666668
0,2,Kang,0.39399999999999996
0,2,Lim,0.33666666666666667
0,2,Ko,0.03666666666666667
0,3,Lee,0.12266666666666669
0,3,Shin,0.5826666666666667
0,3,Kang,0.39333333333333337
0,3,Lim,0.26666666666666655
0,3,Ko,0.07666666666666666
0,4,Lee,0.1813333333333334
0,4,Shin,0.5120000000000001
0,4,Kang,0.34533333333333344
0,4,Lim,0.262
0,4,Ko,0.05133333333333333
0,5,Lee,0.17133333333333334
0,5,Shin,0.538
0,5,Kang,0.41000000000000014
0,5,Lim,0.22599999999999998
0,5,Ko,0.06999999999999998
0,6,Lee,0.226
0,6,Shin,0.5940000000000001
0,6,Kang,0.30933333333333346
0,6,Lim,0.21533333333333335
0,6,Ko,0.07466666666666665
0,7,Lee,0.22933333333333336
0,7,Shin,0.5133333333333333
0,7,Kang,0.3406666666666666
0,7,Lim,0.20866666666666667
0,7,Ko,0.0733333333333333
0,8,Lee,0.26866666666666666
0,8,Shin,0.5533333333333333
0,8,Kang,0.31066666666666676
0,8,Lim,0.22000000000000003
0,8,Ko,0.05999999999999999
0,9,Lee,0.2746666666666668
0,9,Shin,0.574
0,9,Kang,0.29466666666666674
0,9,Lim,0.1926666666666666
0,9,Ko,0.056666666666666664
0,10,Lee,0.26799999999999996
0,10,Shin,0.536
0,10,Kang,0.2973333333333332
0,10,Lim,0.20933333333333337
0,10,Ko,0.06333333333333332
0,11,Lee,0.31600000000000006
0,11,Shin,0.5633333333333334
0,11,Kang,0.3306666666666666
0,11,Lim,0.1493333333333334
0,11,Ko,0.06999999999999998
0,12,Lee,0.30200000000000005
0,12,Shin,0.5406666666666666
0,12,Kang,0.28733333333333333
0,12,Lim,0.17800000000000002
0,12,Ko,0.056666666666666664
0,13,Lee,0.3413333333333333
0,13,Shin,0.5533333333333332
0,13,Kang,0.3233333333333334
0,13,Lim,0.11800000000000002
0,13,Ko,0.05
0,14,Lee,0.36800000000000005
0,14,Shin,0.5873333333333334
0,14,Kang,0.242
0,14,Lim,0.17666666666666672
0,14,Ko,0.06333333333333332
0,15,Lee,0.3473333333333333
0,15,Shin,0.7033333333333333
0,15,Kang,0.24233333333333326
0,15,Lim,0.1246666666666667
0,15,Ko,0.04666666666666666
0,16,Lee,0.3506666666666667
0,16,Shin,0.6413333333333335
0,16,Kang,0.25800000000000006
0,16,Lim,0.1786666666666667
0,16,Ko,0.04666666666666666
0,17,Lee,0.35866666666666674
0,17,Shin,0.6313333333333335
0,17,Kang,0.2613333333333333
0,17,Lim,0.14400000000000004
0,17,Ko,0.05333333333333332
0,18,Lee,0.3966666666666665
0,18,Shin,0.6933333333333335
0,18,Kang,0.21
0,18,Lim,0.1306666666666667
0,18,Ko,0.05333333333333332
0,19,Lee,0.42333333333333345
0,19,Shin,0.6646666666666665
0,19,Kang,0.2353333333333334
0,19,Lim,0.094
0,19,Ko,0.05999999999999999
0,20,Lee,0.45800000000000013
0,20,Shin,0.6759999999999999
0,20,Kang,0.24333333333333326
0,20,Lim,0.10333333333333332
0,20,Ko,0.05333333333333333
0,21,Lee,0.45466666666666655
0,21,Shin,0.6846666666666666
0,21,Kang,0.25933333333333336
0,21,Lim,0.09666666666666668
0,21,Ko,0.048
0,22,Lee,0.3773333333333334
0,22,Shin,0.7519999999999999
0,22,Kang,0.23533333333333328
0,22,Lim,0.14733333333333337
0,22,Ko,0.05
0,23,Lee,0.37933333333333336
0,23,Shin,0.7439999999999999
0,23,Kang,0.2193333333333333
0,23,Lim,0.14000000000000007
0,23,Ko,0.059999999999999984
0,24,Lee,0.5093333333333334
0,24,Shin,0.6946666666666667
0,24,Kang,0.22400000000000003
0,24,Lim,0.08466666666666665
0,24,Ko,0.05466666666666666
0,25,Lee,0.46266666666666667
0,25,Shin,0.7159999999999997
0,25,Kang,0.25
0,25,Lim,0.10800000000000001
0,25,Ko,0.04666666666666666
0,26,Lee,0.4713333333333333
0,26,Shin,0.7106666666666668
0,26,Kang,0.21200000000000002
0,26,Lim,0.12933333333333338
0,26,Ko,0.04
0,27,Lee,0.48
0,27,Shin,0.7193333333333334
0,27,Kang,0.24066666666666664
0,27,Lim,0.08466666666666665
0,27,Ko,0.04333333333333333
0,28,Lee,0.524
0,28,Shin,0.7046666666666667
0,28,Kang,0.25066666666666665
0,28,Lim,0.10466666666666669
0,28,Ko,0.03
0,29,Lee,0.47466666666666657
0,29,Shin,0.7566666666666666
0,29,Kang,0.21733333333333335
0,29,Lim,0.09933333333333336
0,29,Ko,0.04999999999999999
0,30,Lee,0.5040000000000002
0,30,Shin,0.6926666666666665
0,30,Kang,0.24666666666666676
0,30,Lim,0.106
0,30,Ko,0.03
0,31,Lee,0.5226666666666664
0,31,Shin,0.688
0,31,Kang,0.24333333333333343
0,31,Lim,0.10466666666666667
0,31,Ko,0.029999999999999995
0,32,Lee,0.45066666666666655
0,32,Shin,0.7180000000000001
0,32,Kang,0.19333333333333336
0,32,Lim,0.11600000000000005
0,32,Ko,0.07999999999999999
0,33,Lee,0.4746666666666666
0,33,Shin,0.7659999999999999
0,33,Kang,0.254
0,33,Lim,0.098
0,33,Ko,0.03666666666666667
0,34,Lee,0.5173333333333333
0,34,Shin,0.7146666666666667
0,34,Kang,0.20933333333333326
0,34,Lim,0.11333333333333336
0,34,Ko,0.04
0,35,Lee,0.5586666666666665
0,35,Shin,0.6540000000000002
0,35,Kang,0.23733333333333342
0,35,Lim,0.07933333333333331
0,35,Ko,0.03666666666666667
0,36,Lee,0.47533333333333333
0,36,Shin,0.7140000000000001
0,36,Kang,0.2273333333333333
0,36,Lim,0.10133333333333332
0,36,Ko,0.04666666666666666
0,37,Lee,0.5213333333333334
0,37,Shin,0.7326666666666665
0,37,Kang,0.244
0,37,Lim,0.09799999999999999
0,37,Ko,0.03
0,38,Lee,0.4626666666666667
0,38,Shin,0.7466666666666666
0,38,Kang,0.22466666666666668
0,38,Lim,0.11933333333333335
0,38,Ko,0.04999999999999999
0,39,Lee,0.4379999999999998
0,39,Shin,0.7126666666666667
0,39,Kang,0.21333333333333326
0,39,Lim,0.10799999999999997
0,39,Ko,0.04999999999999999
1,0,Lee,0.06
1,0,Shin,0.6040000000000001
1,0,Kang,0.3506666666666666
1,0,Lim,0.3506666666666666
1,0,Ko,0.06999999999999999
1,1,Lee,0.09333333333333332
1,1,Shin,0.5466666666666665
1,1,Kang,0.39266666666666666
1,1,Lim,0.3386666666666666
1,1,Ko,0.06666666666666665
1,2,Lee,0.13666666666666674
