Run,Step,Agent,Reward
0,0,Lee,0.66
0,0,Shin,0.86
0,0,Kang,1.02
0,0,Lim,1.16
0,0,Ko,0.64
0,1,Lee,0.76
0,1,Shin,0.92
0,1,Kang,0.78
0,1,Lim,1.04
0,1,Ko,0.56
0,2,Lee,0.6
0,2,Shin,0.96
0,2,Kang,1.02
0,2,Lim,1.08
0,2,Ko,0.64
0,3,Lee,0.68
0,3,Shin,0.9
0,3,Kang,0.94
0,3,Lim,0.96
0,3,Ko,0.64
0,4,Lee,0.9
0,4,Shin,1.1
0,4,Kang,1.0
0,4,Lim,0.9
0,4,Ko,0.6
0,5,Lee,0.96
0,5,Shin,0.86
0,5,Kang,0.84
0,5,Lim,0.74
0,5,Ko,0.44
0,6,Lee,1.06
0,6,Shin,0.86
0,6,Kang,0.88
0,6,Lim,0.86
0,6,Ko,0.46
0,7,Lee,0.72
0,7,Shin,0.9
0,7,Kang,0.96
0,7,Lim,0.84
0,7,Ko,0.54
0,8,Lee,0.98
0,8,Shin,0.9
0,8,Kang,1.08
0,8,Lim,0.8
0,8,Ko,0.54
0,9,Lee,0.96
0,9,Shin,0.92
0,9,Kang,0.96
0,9,Lim,0.84
0,9,Ko,0.46
0,10,Lee,1.02
0,10,Shin,0.92
0,10,Kang,0.98
0,10,Lim,0.9
0,10,Ko,0.4
0,11,Lee,1.02
0,11,Shin,0.82
0,11,Kang,1.04
0,11,Lim,0.68
0,11,Ko,0.54
0,12,Lee,1.08
0,12,Shin,0.84
0,12,Kang,0.94
0,12,Lim,0.72
0,12,Ko,0.5
0,13,Lee,1.22
0,13,Shin,0.98
0,13,Kang,1.0
0,13,Lim,0.72
0,13,Ko,0.66
0,14,Lee,1.18
0,14,Shin,0.94
0,14,Kang,0.9
0,14,Lim,0.82
0,14,Ko,0.52
0,15,Lee,1.12
0,15,Shin,0.8
0,15,Kang,0.96
0,15,Lim,0.74
0,15,Ko,0.54
0,16,Lee,0.98
0,16,Shin,0.94
0,16,Kang,1.02
0,16,Lim,0.68
0,16,Ko,0.58
0,17,Lee,1.34
0,17,Shin,0.9
0,17,Kang,1.14
0,17,Lim,0.68
0,17,Ko,0.4
0,18,Lee,1.12
0,18,Shin,1.02
0,18,Kang,0.8
0,18,Lim,0.62
0,18,Ko,0.56
0,19,Lee,1.06
0,19,Shin,0.68
0,19,Kang,0.94
0,19,Lim,0.7
0,19,Ko,0.56
0,20,Lee,1.22
0,20,Shin,0.9
0,20,Kang,0.74
