Run,Step,Agent,Episode Length
0,0,Lee,4.0
0,0,Shin,4.0
0,0,Kang,3.64
0,0,Lim,4.0
0,0,Ko,3.92
0,1,Lee,4.0
0,1,Shin,4.0
0,1,Kang,3.48
0,1,Lim,4.0
0,1,Ko,3.96
0,2,Lee,4.0
0,2,Shin,4.0
0,2,Kang,3.48
0,2,Lim,4.0
0,2,Ko,3.66
0,3,Lee,4.0
0,3,Shin,4.0
0,3,Kang,3.02
0,3,Lim,4.0
0,3,Ko,3.76
0,4,Lee,4.0
0,4,Shin,4.0
0,4,Kang,3.32
0,4,Lim,4.0
0,4,Ko,3.6
0,5,Lee,4.0
0,5,Shin,4.0
0,5,Kang,3.28
0,5,Lim,4.0
0,5,Ko,3.52
0,6,Lee,4.0
0,6,Shin,4.0
0,6,Kang,3.2
0,6,Lim,4.0
0,6,Ko,3.58
0,7,Lee,4.0
0,7,Shin,4.0
0,7,Kang,3.22
0,7,Lim,4.0
0,7,Ko,3.48
0,8,Lee,4.0
0,8,Shin,4.0
0,8,Kang,3.32
0,8,Lim,4.0
0,8,Ko,3.38
0,9,Lee,4.0
0,9,Shin,4.0
0,9,Kang,3.06
0,9,Lim,4.0
0,9,Ko,3.66
0,10,Lee,4.0
0,10,Shin,4.0
0,10,Kang,3.08
0,10,Lim,4.0
0,10,Ko,3.56
0,11,Lee,4.0
0,11,Shin,4.0
0,11,Kang,3.42
0,11,Lim,4.0
0,11,Ko,3.42
0,12,Lee,4.0
0,12,Shin,4.0
0,12,Kang,3.4
0,12,Lim,4.0
0,12,Ko,3.54
0,13,Lee,4.0
0,13,Shin,4.0
0,13,Kang,3.52
0,13,Lim,4.0
0,13,Ko,3.34
0,14,Lee,4.0
0,14,Shin,4.0
0,14,Kang,3.3
0,14,Lim,4.0
0,14,Ko,3.42
0,15,Lee,4.0
0,15,Shin,4.0
0,15,Kang,3.32
0,15,Lim,4.0
0,15,Ko,3.52
0,16,Lee,4.0
0,16,Shin,4.0
0,16,Kang,3.32
0,16,Lim,4.0
0,16,Ko,3.54
0,17,Lee,4.0
0,17,Shin,4.0
0,17,Kang,3.5
0,17,Lim,4.0
0,17,Ko,3.52
0,18,Lee,4.0
0,18,Shin,4.0
0,18,Kang,3.16
0,18,Lim,3.98
0,18,Ko,3.7
0,19,Lee,4.0
0,19,Shin,4.0
0,19,Kang,3.12
0,19,Lim,4.0
0,19,Ko,3.48
0,20,Lee,4.0
0,20,Shin,4.0
0,20,Kang,3.26
0,20,Lim,4.0
0,20,Ko,3.46
0,21,Lee,4.0
0,21,Shin,4.0
0,21,Kang,3.24
0,21,Lim,4.0
0,21,Ko,3.52
0,22,Lee,4.0
0,22,Shin,4.0
0,22,Kang,3.32
0,22,Lim,4.0
0,22,Ko,3.58
0,23,Lee,4.0
0,23,Shin,4.0
0,23,Kang,3.28
0,23,Lim,4.0
0,23,Ko,3.36
0,24,Lee,4.0
0,24,Shin,4.0
0,24,Kang,3.36
0,24,Lim,4.0
0,24,Ko,3.58
0,25,Lee,4.0
0,25,Shin,4.0
0,25,Kang,3.36
0,25,Lim,4.0
0,25,Ko,3.5
0,26,Lee,4.0
0,26,Shin,4.0
0,26,Kang,3.28
0,26,Lim,3.96
0,26,Ko,3.5
0,27,Lee,4.0
0,27,Shin,4.0
0,27,Kang,3.44
0,27,Lim,4.0
0,27,Ko,3.56
0,28,Lee,4.0
0,28,Shin,4.0
0,28,Kang,3.42
0,28,Lim,4.0
0,28,Ko,3.76
0,29,Lee,4.0
0,29,Shin,4.0
0,29,Kang,3.12
0,29,Lim,3.98
0,29,Ko,3.76
0,30,Lee,4.0
0,30,Shin,4.0
0,30,Kang,3.38
0,30,Lim,4.0
0,30,Ko,3.62
0,31,Lee,4.0
0,31,Shin,4.0
0,31,Kang,3.22
0,31,Lim,4.0
0,31,Ko,3.62
0,32,Lee,4.0
0,32,Shin,4.0
0,32,Kang,3.52
0,32,Lim,3.96
0,32,Ko,3.64
0,33,Lee,4.0
0,33,Shin,4.0
0,33,Kang,3.52
0,33,Lim,4.0
0,33,Ko,3.64
0,34,Lee,4.0
0,34,Shin,4.0
0,34,Kang,3.36
0,34,Lim,3.98
0,34,Ko,3.82
0,35,Lee,4.0
0,35,Shin,4.0
0,35,Kang,3.26
0,35,Lim,3.96
0,35,Ko,3.76
0,36,Lee,4.0
0,36,Shin,4.0
0,36,Kang,3.52
0,36,Lim,4.0
0,36,Ko,3.72
0,37,Lee,4.0
0,37,Shin,4.0
0,37,Kang,3.3
0,37,Lim,4.0
0,37,Ko,3.74
0,38,Lee,4.0
0,38,Shin,4.0
0,38,Kang,3.36
0,38,Lim,4.0
0,38,Ko,3.76
0,39,Lee,4.0
0,39,Shin,4.0
0,39,Kang,3.5
0,39,Lim,3.96
0,39,Ko,3.56
1,0,Lee,4.0
1,0,Shin,4.0
1,0,Kang,3.62
1,0,Lim,4.0
1,0,Ko,4.0
1,1,Lee,4.0
1,1,Shin,4.0
1,1,Kang,3.5
1,1,Lim,4.0
1,1,Ko,3.9
1,2,Lee,4.0
1,2,Shin,4.0
1,2,Kang,3.24
1,2,Lim,4.0
1,2,Ko,3.86
1,3,Lee,4.0
1,3,Shin,4.0
1,3,Kang,3.28
1,3,Lim,4.0
1,3,Ko,3.94
1,4,Lee,4.0
1,4,Shin,4.0
1,4,Kang,3.32
1,4,Lim,4.0
1,4,Ko,3.92
1,5,Lee,4.0
1,5,Shin,4.0
1,5,Kang,3.18
1,5,Lim,4.0
1,5,Ko,3.86
1,6,Lee,4.0
1,6,Shin,4.0
1,6,Kang,3.36
1,6,Lim,4.0
1,6,Ko,3.7
1,7,Lee,4.0
1,7,Shin,4.0
1,7,Kang,3.32
1,7,Lim,4.0
1,7,Ko,3.74
1,8,Lee,4.0
1,8,Shin,4.0
1,8,Kang,3.4
1,8,Lim,4.0
1,8,Ko,3.68
1,9,Lee,4.0
1,9,Shin,4.0
1,9,Kang,3.32
1,9,Lim,4.0
1,9,Ko,3.62
1,10,Lee,4.0
1,10,Shin,4.0
1,10,Kang,3.18
1,10,Lim,4.0
1,10,Ko,3.56
1,11,Lee,4.0
