Run,Step,Reward
0,0,1.47
0,1,1.5
0,2,1.57
0,3,1.59
0,4,1.68
0,5,1.61
0,6,1.63
0,7,1.43
0,8,1.5
0,9,1.48
0,10,1.6
0,11,1.43
0,12,1.57
0,13,1.42
0,14,1.55
0,15,1.43
0,16,1.64
0,17,1.42
0,18,1.46
0,19,1.43
0,20,1.45
0,21,1.4
0,22,1.46
0,23,1.56
0,24,1.37
0,25,1.37
0,26,1.87
0,27,2.12
0,28,2.11
0,29,1.94
0,30,2.03
0,31,2.06
0,32,1.82
0,33,2.14
0,34,2.04
0,35,2.09
0,36,2.2
0,37,2.1
0,38,2.0
0,39,2.05
0,40,2.23
0,41,2.0
0,42,2.14
0,43,2.05
0,44,2.08
0,45,2.04
0,46,2.21
0,47,2.16
0,48,2.01
0,49,2.19
