Run,Step,Reward
0,0,1.53
0,1,1.49
0,2,1.61
0,3,1.58
0,4,1.62
0,5,1.57
0,6,1.57
0,7,1.54
0,8,1.57
0,9,1.52
0,10,1.54
0,11,1.47
0,12,1.61
0,13,1.58
0,14,1.69
0,15,1.61
0,16,1.5
0,17,1.64
0,18,1.53
0,19,1.59
0,20,1.6
0,21,1.45
0,22,1.58
0,23,1.58
0,24,1.63
0,25,1.62
0,26,1.7
0,27,1.57
0,28,1.64
0,29,1.65
0,30,1.62
0,31,1.54
0,32,1.71
0,33,1.54
0,34,1.59
0,35,1.51
0,36,1.46
0,37,1.52
0,38,1.54
0,39,1.57
0,40,1.66
0,41,1.66
0,42,1.6
0,43,1.54
0,44,1.52
0,45,1.53
0,46,1.64
0,47,1.62
0,48,1.55
0,49,1.58
1,0,1.71
1,1,1.41
1,2,1.5
1,3,1.48
1,4,1.51
1,5,1.36
1,6,1.49
1,7,1.53
1,8,1.35
1,9,1.52
1,10,1.36
1,11,1.72
1,12,1.69
1,13,1.84
1,14,1.84
1,15,1.84
1,16,1.85
1,17,1.78
1,18,1.93
1,19,1.8
1,20,1.9
1,21,1.89
1,22,1.81
1,23,1.95
1,24,1.72
1,25,1.93
1,26,1.87
1,27,1.83
1,28,1.89
1,29,1.85
1,30,2.0
1,31,1.86
1,32,1.83
1,33,2.08
1,34,1.92
1,35,1.95
1,36,1.91
1,37,1.91
1,38,1.81
1,39,1.89
1,40,2.02
1,41,2.02
1,42,2.02
1,43,2.03
1,44,2.04
1,45,2.01
1,46,1.96
1,47,1.99
1,48,2.03
1,49,1.92
2,0,1.32
2,1,1.6
2,2,1.59
2,3,1.58
2,4,1.57
2,5,1.69
2,6,1.63
2,7,1.62
2,8,1.61
2,9,1.59
2,10,1.65
2,11,1.65
2,12,1.69
2,13,1.63
2,14,1.68
2,15,1.6
2,16,1.66
2,17,1.67
2,18,1.66
2,19,1.64
2,20,1.6
2,21,1.66
2,22,1.64
2,23,1.6
2,24,1.64
2,25,1.63
2,26,1.66
2,27,1.61
2,28,1.58
2,29,1.69
2,30,1.54
2,31,1.67
2,32,1.72
2,33,1.65
2,34,1.57
2,35,1.56
2,36,1.65
2,37,1.63
2,38,1.69
2,39,1.61
2,40,1.63
2,41,1.68
2,42,1.61
2,43,1.64
2,44,1.67
2,45,1.66
2,46,1.65
2,47,1.58
2,48,1.62
2,49,1.56
