Run,Step,Reward
0,0,1.43
0,1,1.57
0,2,1.58
0,3,1.59
0,4,1.75
0,5,1.68
0,6,1.55
0,7,1.59
0,8,1.69
0,9,1.73
0,10,1.67
0,11,1.59
0,12,1.61
0,13,1.67
0,14,1.64
0,15,1.62
0,16,1.64
0,17,1.59
0,18,1.6
0,19,1.48
0,20,1.54
0,21,1.56
0,22,1.59
0,23,1.59
0,24,1.61
0,25,1.59
0,26,1.54
0,27,1.5
0,28,1.5
0,29,1.42
0,30,1.8
0,31,2.09
0,32,2.15
0,33,2.05
0,34,2.06
0,35,2.03
0,36,1.99
0,37,2.09
0,38,2.18
0,39,1.98
0,40,2.02
0,41,2.15
0,42,1.85
0,43,2.16
0,44,2.26
0,45,2.15
0,46,2.09
0,47,2.06
0,48,2.16
0,49,2.23
1,0,1.32
1,1,1.54
1,2,1.36
1,3,1.46
1,4,1.44
1,5,1.44
1,6,1.37
1,7,1.48
1,8,1.51
1,9,1.51
1,10,1.53
1,11,1.5
1,12,1.37
1,13,1.37
1,14,1.42
1,15,1.45
1,16,1.57
1,17,1.52
1,18,1.48
1,19,1.47
1,20,1.48
1,21,1.51
1,22,1.5
1,23,1.4
1,24,1.36
1,25,1.37
1,26,1.53
1,27,1.44
1,28,1.44
1,29,1.36
1,30,1.61
1,31,1.24
1,32,1.39
1,33,1.35
1,34,1.38
1,35,1.47
1,36,1.41
1,37,1.42
1,38,1.47
1,39,1.41
1,40,1.58
1,41,1.36
1,42,1.45
1,43,1.37
1,44,1.45
1,45,1.38
1,46,1.48
1,47,1.36
1,48,1.5
1,49,1.43
2,0,1.45
2,1,1.55
2,2,1.61
2,3,1.59
2,4,1.68
2,5,1.65
2,6,1.64
2,7,1.51
2,8,1.69
2,9,1.76
2,10,1.68
2,11,1.56
2,12,1.69
2,13,1.6
2,14,1.55
2,15,1.66
2,16,1.57
2,17,1.52
2,18,1.62
2,19,1.51
2,20,1.59
2,21,1.55
2,22,1.6
2,23,1.45
2,24,1.56
2,25,1.55
2,26,1.57
2,27,1.56
2,28,1.59
2,29,1.59
2,30,1.56
2,31,1.61
2,32,1.57
2,33,1.61
2,34,1.51
2,35,1.51
2,36,1.52
2,37,1.59
2,38,1.55
2,39,1.48
2,40,1.57
2,41,1.58
2,42,1.53
2,43,1.62
2,44,1.5
2,45,1.53
2,46,1.54
2,47,1.55
2,48,1.61
2,49,1.6
