Run,Step,Episode Length
0,0,6.0
0,1,6.0
0,2,6.0
0,3,6.0
0,4,6.0
0,5,6.0
0,6,5.0
0,7,6.0
0,8,6.0
0,9,6.0
0,10,2.0
0,11,6.0
0,12,3.0
0,13,2.0
0,14,6.0
0,15,2.0
0,16,2.0
0,17,6.0
0,18,2.0
0,19,6.0
0,20,6.0
0,21,3.0
0,22,2.0
0,23,6.0
0,24,6.0
0,25,2.0
0,26,3.0
0,27,6.0
0,28,6.0
0,29,6.0
0,30,6.0
0,31,6.0
0,32,5.0
0,33,2.0
0,34,2.0
0,35,6.0
0,36,6.0
0,37,2.0
0,38,6.0
0,39,6.0
0,40,3.0
0,41,5.0
0,42,2.0
0,43,6.0
0,44,6.0
0,45,4.0
0,46,2.0
0,47,3.0
0,48,6.0
0,49,6.0
0,50,3.0
0,51,3.0
0,52,4.0
0,53,6.0
0,54,6.0
0,55,6.0
0,56,2.0
0,57,5.0
0,58,6.0
0,59,6.0
0,60,6.0
0,61,6.0
0,62,3.0
0,63,6.0
0,64,6.0
0,65,6.0
0,66,3.0
0,67,6.0
0,68,6.0
0,69,3.0
0,70,5.0
0,71,6.0
0,72,5.0
0,73,6.0
0,74,6.0
0,75,2.0
0,76,3.0
0,77,2.0
0,78,6.0
0,79,2.0
0,80,2.0
0,81,4.0
0,82,3.0
0,83,5.0
0,84,6.0
0,85,2.0
0,86,6.0
0,87,6.0
0,88,6.0
0,89,2.0
0,90,2.0
0,91,2.0
0,92,6.0
0,93,3.0
0,94,6.0
0,95,2.0
0,96,6.0
0,97,2.0
0,98,2.0
0,99,6.0
0,100,4.0
0,101,6.0
0,102,2.0
0,103,2.0
0,104,6.0
0,105,2.0
0,106,2.0
0,107,2.0
0,108,6.0
0,109,3.0
0,110,6.0
0,111,6.0
0,112,2.0
0,113,6.0
0,114,6.0
0,115,5.0
0,116,2.0
0,117,6.0
0,118,3.0
0,119,2.0
0,120,2.0
0,121,6.0
0,122,6.0
0,123,6.0
0,124,6.0
0,125,6.0
0,126,6.0
0,127,6.0
0,128,3.0
0,129,6.0
0,130,6.0
0,131,4.0
0,132,2.0
0,133,5.0
0,134,4.0
0,135,4.0
0,136,2.0
0,137,3.0
0,138,4.0
0,139,3.0
0,140,3.0
0,141,6.0
0,142,2.0
0,143,3.0
0,144,6.0
0,145,6.0
0,146,4.0
0,147,5.0
0,148,6.0
0,149,3.0
0,150,4.0
0,151,3.0
0,152,3.0
0,153,6.0
0,154,6.0
0,155,6.0
0,156,6.0
0,157,6.0
0,158,3.0
0,159,2.0
0,160,6.0
0,161,2.0
0,162,3.0
0,163,4.0
0,164,6.0
0,165,2.0
0,166,4.0
0,167,6.0
0,168,2.0
0,169,2.0
0,170,2.0
0,171,6.0
0,172,6.0
0,173,6.0
0,174,5.0
0,175,6.0
0,176,6.0
0,177,2.0
0,178,6.0
0,179,5.0
0,180,6.0
0,181,6.0
0,182,2.0
0,183,6.0
0,184,6.0
0,185,6.0
0,186,3.0
0,187,2.0
0,188,6.0
0,189,6.0
0,190,6.0
0,191,2.0
0,192,3.0
0,193,3.0
0,194,6.0
0,195,6.0
0,196,6.0
0,197,3.0
0,198,6.0
0,199,6.0
0,200,2.0
0,201,4.0
0,202,6.0
0,203,6.0
0,204,6.0
0,205,6.0
0,206,6.0
0,207,6.0
0,208,6.0
0,209,4.0
0,210,3.0
0,211,3.0
0,212,6.0
0,213,5.0
0,214,6.0
0,215,6.0
0,216,6.0
0,217,2.0
0,218,6.0
0,219,2.0
0,220,4.0
0,221,6.0
0,222,2.0
0,223,6.0
0,224,2.0
0,225,3.0
0,226,2.0
0,227,6.0
0,228,4.0
0,229,5.0
0,230,2.0
0,231,4.0
0,232,6.0
0,233,3.0
0,234,6.0
0,235,6.0
0,236,6.0
0,237,3.0
0,238,6.0
0,239,2.0
0,240,6.0
0,241,6.0
0,242,3.0
0,243,6.0
0,244,2.0
0,245,4.0
0,246,4.0
0,247,6.0
0,248,2.0
0,249,6.0
0,250,6.0
0,251,2.0
0,252,3.0
0,253,6.0
0,254,6.0
0,255,2.0
0,256,3.0
0,257,6.0
0,258,3.0
0,259,4.0
0,260,6.0
0,261,2.0
0,262,2.0
0,263,2.0
0,264,2.0
0,265,5.0
0,266,3.0
0,267,6.0
0,268,6.0
0,269,5.0
0,270,6.0
0,271,4.0
0,272,6.0
0,273,6.0
0,274,6.0
0,275,6.0
0,276,2.0
0,277,6.0
0,278,6.0
0,279,3.0
0,280,2.0
0,281,6.0
0,282,3.0
0,283,6.0
0,284,2.0
0,285,6.0
0,286,6.0
0,287,6.0
0,288,6.0
0,289,2.0
0,290,6.0
0,291,3.0
0,292,2.0
0,293,2.0
0,294,2.0
0,295,2.0
0,296,6.0
0,297,4.0
0,298,2.0
0,299,6.0
0,300,6.0
0,301,3.0
0,302,3.0
0,303,2.0
0,304,6.0
0,305,6.0
0,306,6.0
0,307,6.0
0,308,4.0
0,309,3.0
0,310,4.0
0,311,6.0
0,312,6.0
0,313,2.0
0,314,6.0
0,315,4.0
0,316,3.0
0,317,6.0
0,318,3.0
0,319,6.0
0,320,6.0
0,321,5.0
0,322,2.0
0,323,4.0
0,324,3.0
0,325,4.0
0,326,3.0
0,327,6.0
0,328,2.0
0,329,6.0
0,330,4.0
0,331,2.0
0,332,6.0
0,333,2.0
0,334,2.0
0,335,2.0
0,336,3.0
0,337,2.0
0,338,3.0
0,339,2.0
0,340,2.0
0,341,3.0
0,342,3.0
0,343,6.0
0,344,6.0
0,345,6.0
0,346,6.0
0,347,6.0
0,348,6.0
0,349,2.0
0,350,6.0
0,351,3.0
0,352,6.0
0,353,6.0
0,354,3.0
0,355,2.0
0,356,6.0
0,357,2.0
0,358,3.0
0,359,4.0
0,360,6.0
0,361,3.0
0,362,5.0
0,363,6.0
0,364,2.0
0,365,6.0
0,366,6.0
0,367,2.0
0,368,4.0
0,369,3.0
0,370,2.0
0,371,6.0
0,372,6.0
0,373,2.0
0,374,6.0
0,375,4.0
0,376,2.0
0,377,3.0
0,378,6.0
0,379,6.0
0,380,3.0
0,381,2.0
0,382,2.0
0,383,5.0
0,384,5.0
0,385,6.0
0,386,2.0
0,387,4.0
0,388,6.0
0,389,6.0
0,390,6.0
0,391,2.0
0,392,2.0
0,393,6.0
0,394,6.0
0,395,3.0
0,396,4.0
0,397,5.0
0,398,6.0
0,399,3.0
0,400,5.0
0,401,2.0
0,402,3.0
0,403,6.0
0,404,2.0
0,405,6.0
0,406,3.0
0,407,2.0
0,408,6.0
0,409,6.0
0,410,3.0
0,411,6.0
0,412,6.0
0,413,6.0
0,414,4.0
0,415,6.0
0,416,6.0
0,417,6.0
0,418,6.0
0,419,5.0
0,420,6.0
0,421,3.0
0,422,5.0
0,423,4.0
0,424,4.0
0,425,6.0
0,426,3.0
0,427,2.0
0,428,2.0
0,429,4.0
0,430,2.0
0,431,6.0
0,432,4.0
0,433,6.0
0,434,6.0
0,435,6.0
0,436,4.0
0,437,3.0
0,438,2.0
0,439,3.0
0,440,6.0
0,441,6.0
0,442,6.0
0,443,6.0
0,444,2.0
0,445,6.0
0,446,5.0
0,447,2.0
0,448,3.0
0,449,2.0
0,450,3.0
0,451,2.0
0,452,2.0
0,453,6.0
0,454,5.0
0,455,4.0
0,456,6.0
0,457,6.0
0,458,6.0
0,459,6.0
0,460,3.0
0,461,6.0
0,462,6.0
0,463,6.0
0,464,3.0
0,465,2.0
0,466,6.0
0,467,3.0
0,468,2.0
0,469,2.0
0,470,2.0
0,471,5.0
0,472,6.0
0,473,4.0
0,474,2.0
0,475,3.0
0,476,4.0
0,477,6.0
0,478,2.0
0,479,6.0
0,480,6.0
0,481,6.0
0,482,6.0
0,483,2.0
0,484,2.0
0,485,3.0
0,486,6.0
0,487,6.0
0,488,6.0
0,489,6.0
0,490,3.0
0,491,4.0
0,492,6.0
0,493,6.0
0,494,6.0
0,495,4.0
0,496,6.0
0,497,6.0
0,498,4.0
0,499,2.0
0,500,3.0
0,501,6.0
0,502,2.0
0,503,4.0
0,504,6.0
0,505,3.0
0,506,6.0
0,507,6.0
0,508,2.0
0,509,5.0
0,510,6.0
0,511,6.0
0,512,2.0
0,513,6.0
0,514,6.0
0,515,3.0
0,516,3.0
0,517,2.0
0,518,6.0
0,519,2.0
