Run,Step,Probability of Winning
0,0,0.4774999999999999
0,1,0.5651666666666667
0,2,0.5673333333333334
0,3,0.6311666666666668
0,4,0.5636666666666666
0,5,0.5485
0,6,0.5693333333333334
0,7,0.572
0,8,0.5876666666666667
0,9,0.5496666666666665
0,10,0.5296666666666667
0,11,0.5761666666666666
0,12,0.5486666666666666
0,13,0.5395
0,14,0.5433333333333333
0,15,0.5085000000000001
0,16,0.5311666666666667
0,17,0.575
0,18,0.5276666666666667
0,19,0.5109999999999999
0,20,0.5485000000000001
0,21,0.51
0,22,0.5333333333333333
0,23,0.47083333333333344
0,24,0.5008333333333335
0,25,0.49
0,26,0.49266666666666664
0,27,0.5366666666666666
0,28,0.5666666666666667
0,29,0.5133333333333333
0,30,0.46333333333333326
0,31,0.49
0,32,0.44333333333333336
0,33,0.5633333333333334
0,34,0.53
0,35,0.52
0,36,0.5466666666666666
0,37,0.5233333333333333
0,38,0.5133333333333333
0,39,0.5333333333333333
0,40,0.5166666666666667
0,41,0.5
0,42,0.48
0,43,0.48333333333333334
0,44,0.5266666666666667
0,45,0.46
0,46,0.5
0,47,0.5641666666666666
0,48,0.4966666666666666
0,49,0.5
1,0,0.3976666666666667
1,1,0.5886666666666668
1,2,0.5585
1,3,0.5966666666666667
1,4,0.558
1,5,0.5235
1,6,0.5605
1,7,0.5543333333333333
1,8,0.5573333333333333
1,9,0.5761666666666666
1,10,0.546
1,11,0.5216666666666666
1,12,0.5403333333333333
1,13,0.5101666666666667
1,14,0.5568333333333333
1,15,0.5298333333333334
1,16,0.5851666666666667
1,17,0.49433333333333335
1,18,0.5518333333333334
1,19,0.49833333333333335
1,20,0.501
1,21,0.4643333333333334
1,22,0.5499999999999999
1,23,0.4183333333333332
1,24,0.38383333333333347
1,25,0.3391666666666667
1,26,0.3416666666666668
1,27,0.3726666666666668
1,28,0.38716666666666666
1,29,0.40466666666666673
1,30,0.4095000000000001
1,31,0.40666666666666673
1,32,0.4131666666666668
1,33,0.40866666666666673
1,34,0.38966666666666666
1,35,0.3945000000000001
1,36,0.3845000000000001
1,37,0.4355000000000001
1,38,0.4285
1,39,0.4533333333333334
1,40,0.43650000000000005
1,41,0.463
1,42,0.4306666666666667
1,43,0.4365
1,44,0.41900000000000004
1,45,0.4175000000000001
1,46,0.4595
1,47,0.42100000000000004
1,48,0.45283333333333337
1,49,0.4643333333333334
2,0,0.43266666666666675
2,1,0.5538333333333334
2,2,0.5788333333333334
2,3,0.5836666666666667
2,4,0.5668333333333333
2,5,0.5485000000000001
2,6,0.6473333333333335
2,7,0.5595
2,8,0.5491666666666667
2,9,0.5496666666666667
2,10,0.6025
2,11,0.5695
2,12,0.5445
2,13,0.5948333333333333
2,14,0.5545
2,15,0.575
2,16,0.5211666666666668
2,17,0.475
2,18,0.5075
2,19,0.5135000000000001
2,20,0.5216666666666667
2,21,0.45266666666666666
2,22,0.38716666666666666
2,23,0.38400000000000006
2,24,0.4063333333333334
2,25,0.4646666666666667
2,26,0.44166666666666665
2,27,0.47366666666666674
2,28,0.46166666666666667
2,29,0.48100000000000004
2,30,0.4718333333333334
2,31,0.47166666666666673
2,32,0.468
2,33,0.4738333333333333
2,34,0.48550000000000004
2,35,0.4761666666666667
2,36,0.47783333333333333
2,37,0.4955
2,38,0.4953333333333333
2,39,0.493
2,40,0.5073333333333333
2,41,0.5055
2,42,0.5023333333333333
2,43,0.5108333333333334
2,44,0.49883333333333335
2,45,0.5013333333333333
2,46,0.5056666666666667
2,47,0.502
2,48,0.4776666666666667
2,49,0.5033333333333333
