Run,Step,Reward
0,0,1.22
0,1,1.4
0,2,1.48
0,3,1.38
0,4,1.38
0,5,1.36
0,6,1.46
0,7,1.55
0,8,1.46
0,9,1.49
0,10,1.49
0,11,1.45
0,12,1.35
0,13,1.51
0,14,1.48
0,15,1.48
0,16,1.47
0,17,1.46
0,18,1.6
0,19,1.38
0,20,1.36
0,21,1.57
0,22,1.58
0,23,1.48
0,24,1.41
0,25,1.45
0,26,1.57
0,27,1.5
0,28,1.45
0,29,1.42
0,30,1.54
0,31,1.41
0,32,1.5
0,33,1.42
0,34,1.44
0,35,1.47
0,36,1.52
0,37,1.43
0,38,1.43
0,39,1.4
0,40,1.42
0,41,1.38
0,42,1.46
0,43,1.49
0,44,1.48
0,45,1.41
0,46,1.53
0,47,1.5
0,48,1.54
0,49,1.46
