Run,Step,Episode Length
0,0,6.0
0,1,6.0
0,2,6.0
0,3,6.0
0,4,6.0
0,5,5.0
0,6,6.0
0,7,6.0
0,8,6.0
0,9,6.0
0,10,2.0
0,11,6.0
0,12,3.0
0,13,6.0
0,14,6.0
0,15,2.0
0,16,6.0
0,17,4.0
0,18,4.0
0,19,4.0
0,20,6.0
0,21,6.0
0,22,6.0
0,23,4.0
0,24,6.0
0,25,3.0
0,26,2.0
0,27,6.0
0,28,3.0
0,29,6.0
0,30,6.0
0,31,6.0
0,32,2.0
0,33,6.0
0,34,6.0
0,35,3.0
0,36,6.0
0,37,6.0
0,38,4.0
0,39,6.0
0,40,3.0
0,41,4.0
0,42,6.0
0,43,2.0
0,44,6.0
0,45,6.0
0,46,2.0
0,47,2.0
0,48,4.0
0,49,6.0
0,50,4.0
0,51,3.0
0,52,5.0
0,53,5.0
0,54,6.0
0,55,3.0
0,56,6.0
0,57,6.0
0,58,5.0
0,59,6.0
0,60,6.0
0,61,6.0
0,62,6.0
0,63,6.0
0,64,6.0
0,65,3.0
0,66,6.0
0,67,4.0
0,68,4.0
0,69,5.0
0,70,6.0
0,71,4.0
0,72,6.0
0,73,6.0
0,74,6.0
0,75,6.0
0,76,2.0
0,77,6.0
0,78,6.0
0,79,5.0
0,80,4.0
0,81,3.0
0,82,6.0
0,83,5.0
0,84,4.0
0,85,4.0
0,86,6.0
0,87,6.0
0,88,6.0
0,89,2.0
0,90,2.0
0,91,2.0
0,92,6.0
0,93,6.0
0,94,6.0
0,95,6.0
0,96,6.0
0,97,6.0
0,98,6.0
0,99,2.0
0,100,2.0
0,101,4.0
0,102,6.0
0,103,4.0
0,104,6.0
0,105,6.0
0,106,6.0
0,107,4.0
0,108,2.0
0,109,6.0
0,110,4.0
0,111,3.0
0,112,6.0
0,113,6.0
0,114,6.0
0,115,6.0
0,116,6.0
0,117,6.0
0,118,6.0
0,119,3.0
0,120,6.0
0,121,6.0
0,122,4.0
0,123,2.0
0,124,5.0
0,125,4.0
0,126,4.0
0,127,2.0
0,128,3.0
0,129,4.0
0,130,3.0
0,131,3.0
0,132,6.0
0,133,2.0
0,134,3.0
0,135,6.0
0,136,6.0
0,137,4.0
0,138,5.0
0,139,6.0
0,140,3.0
0,141,4.0
0,142,3.0
0,143,3.0
0,144,6.0
0,145,6.0
0,146,6.0
0,147,6.0
0,148,6.0
0,149,3.0
0,150,2.0
0,151,6.0
0,152,2.0
0,153,3.0
0,154,4.0
0,155,6.0
0,156,2.0
0,157,4.0
0,158,6.0
0,159,2.0
0,160,2.0
0,161,2.0
0,162,6.0
0,163,6.0
0,164,6.0
0,165,5.0
0,166,6.0
0,167,6.0
0,168,2.0
0,169,6.0
0,170,5.0
0,171,6.0
0,172,6.0
0,173,2.0
0,174,6.0
0,175,6.0
0,176,3.0
0,177,6.0
0,178,2.0
0,179,6.0
0,180,6.0
0,181,6.0
0,182,2.0
0,183,3.0
0,184,3.0
0,185,6.0
0,186,6.0
0,187,6.0
0,188,3.0
0,189,6.0
0,190,6.0
0,191,2.0
0,192,4.0
0,193,6.0
0,194,6.0
0,195,6.0
0,196,6.0
0,197,6.0
0,198,6.0
0,199,6.0
0,200,4.0
0,201,3.0
0,202,3.0
0,203,6.0
0,204,5.0
0,205,6.0
0,206,6.0
0,207,6.0
0,208,2.0
0,209,6.0
0,210,2.0
0,211,4.0
0,212,6.0
0,213,2.0
0,214,6.0
0,215,2.0
0,216,3.0
0,217,2.0
0,218,6.0
0,219,4.0
0,220,5.0
0,221,2.0
0,222,4.0
0,223,6.0
0,224,3.0
0,225,6.0
0,226,6.0
0,227,6.0
0,228,6.0
0,229,6.0
0,230,3.0
0,231,6.0
0,232,6.0
0,233,6.0
0,234,3.0
0,235,2.0
0,236,4.0
0,237,6.0
0,238,2.0
0,239,2.0
0,240,6.0
0,241,2.0
0,242,6.0
0,243,6.0
0,244,6.0
0,245,6.0
0,246,6.0
0,247,4.0
0,248,2.0
0,249,5.0
0,250,3.0
0,251,5.0
0,252,2.0
0,253,4.0
0,254,5.0
0,255,3.0
0,256,6.0
0,257,6.0
0,258,6.0
0,259,6.0
0,260,2.0
0,261,6.0
0,262,6.0
0,263,4.0
0,264,6.0
0,265,3.0
0,266,3.0
0,267,6.0
0,268,2.0
0,269,6.0
0,270,6.0
0,271,2.0
0,272,3.0
0,273,4.0
0,274,2.0
0,275,6.0
0,276,6.0
0,277,6.0
0,278,6.0
0,279,6.0
0,280,6.0
0,281,4.0
0,282,6.0
0,283,4.0
0,284,6.0
0,285,2.0
0,286,6.0
0,287,6.0
0,288,2.0
0,289,3.0
0,290,2.0
0,291,6.0
0,292,6.0
0,293,6.0
0,294,6.0
0,295,4.0
0,296,3.0
0,297,4.0
0,298,6.0
0,299,6.0
0,300,2.0
0,301,6.0
0,302,4.0
0,303,3.0
0,304,6.0
0,305,3.0
0,306,6.0
0,307,6.0
0,308,5.0
0,309,2.0
0,310,4.0
0,311,3.0
0,312,4.0
0,313,3.0
0,314,6.0
0,315,2.0
0,316,6.0
0,317,4.0
0,318,2.0
0,319,6.0
0,320,2.0
0,321,2.0
0,322,2.0
0,323,3.0
0,324,2.0
0,325,3.0
0,326,2.0
0,327,2.0
0,328,3.0
0,329,3.0
0,330,6.0
0,331,6.0
0,332,6.0
0,333,6.0
0,334,6.0
0,335,6.0
0,336,2.0
0,337,6.0
0,338,3.0
0,339,6.0
0,340,6.0
0,341,3.0
0,342,2.0
0,343,6.0
0,344,2.0
0,345,3.0
0,346,4.0
0,347,6.0
0,348,3.0
0,349,5.0
0,350,6.0
0,351,2.0
0,352,6.0
0,353,6.0
0,354,2.0
0,355,4.0
0,356,3.0
0,357,2.0
0,358,6.0
0,359,6.0
0,360,2.0
0,361,6.0
0,362,4.0
0,363,2.0
0,364,3.0
0,365,6.0
0,366,6.0
0,367,3.0
0,368,2.0
0,369,2.0
0,370,5.0
0,371,5.0
0,372,6.0
0,373,2.0
0,374,4.0
0,375,6.0
0,376,6.0
0,377,6.0
0,378,2.0
0,379,2.0
0,380,6.0
0,381,6.0
0,382,3.0
0,383,4.0
0,384,5.0
0,385,6.0
0,386,3.0
0,387,5.0
0,388,2.0
0,389,3.0
0,390,6.0
0,391,2.0
0,392,5.0
0,393,4.0
0,394,2.0
0,395,6.0
0,396,6.0
0,397,3.0
0,398,6.0
0,399,6.0
0,400,6.0
0,401,4.0
0,402,6.0
0,403,6.0
0,404,6.0
0,405,6.0
0,406,5.0
0,407,6.0
0,408,3.0
0,409,6.0
0,410,4.0
0,411,3.0
0,412,6.0
0,413,3.0
0,414,2.0
0,415,2.0
0,416,4.0
0,417,2.0
0,418,6.0
0,419,4.0
0,420,6.0
0,421,6.0
0,422,6.0
0,423,4.0
0,424,3.0
0,425,2.0
0,426,3.0
0,427,6.0
0,428,6.0
0,429,6.0
0,430,6.0
0,431,2.0
0,432,6.0
0,433,5.0
0,434,2.0
0,435,3.0
0,436,2.0
0,437,3.0
0,438,2.0
0,439,2.0
0,440,6.0
0,441,5.0
0,442,4.0
0,443,6.0
0,444,6.0
0,445,6.0
0,446,6.0
0,447,3.0
0,448,6.0
0,449,6.0
0,450,6.0
0,451,3.0
0,452,2.0
0,453,6.0
0,454,3.0
0,455,2.0
0,456,2.0
0,457,2.0
0,458,5.0
0,459,6.0
0,460,4.0
0,461,2.0
0,462,3.0
0,463,4.0
0,464,6.0
0,465,2.0
0,466,6.0
0,467,6.0
0,468,6.0
0,469,6.0
0,470,2.0
0,471,2.0
0,472,3.0
0,473,6.0
0,474,6.0
0,475,6.0
0,476,6.0
0,477,3.0
0,478,4.0
0,479,6.0
0,480,6.0
0,481,6.0
0,482,4.0
0,483,6.0
0,484,6.0
0,485,4.0
0,486,2.0
0,487,3.0
0,488,6.0
0,489,2.0
0,490,4.0
0,491,6.0
0,492,3.0
0,493,6.0
0,494,6.0
0,495,2.0
0,496,5.0
0,497,6.0
0,498,6.0
0,499,2.0
0,500,4.0
0,501,2.0
0,502,6.0
0,503,2.0
0,504,3.0
0,505,2.0
0,506,6.0
0,507,2.0
0,508,6.0
0,509,6.0
0,510,3.0
0,511,3.0
0,512,5.0
0,513,2.0
0,514,6.0
0,515,2.0
0,516,3.0
0,517,3.0
0,518,6.0
0,519,6.0
