Run,Step,Reward
0,0,1.14
0,1,1.3
0,2,1.31
0,3,1.39
0,4,1.54
0,5,1.55
0,6,1.43
0,7,1.43
0,8,1.54
0,9,1.57
0,10,1.44
0,11,1.55
0,12,1.48
0,13,1.58
0,14,1.48
0,15,1.5
0,16,1.45
0,17,1.53
0,18,1.57
0,19,1.4
0,20,1.68
0,21,1.85
0,22,1.9
0,23,2.0
0,24,1.99
0,25,2.0
0,26,1.98
0,27,2.14
0,28,2.01
0,29,2.05
0,30,2.08
0,31,2.05
0,32,2.01
0,33,1.94
0,34,1.98
0,35,2.16
0,36,2.08
0,37,2.05
0,38,2.02
0,39,2.04
0,40,1.91
0,41,1.93
0,42,2.08
0,43,1.96
0,44,2.24
0,45,1.85
0,46,1.97
0,47,2.12
0,48,2.03
0,49,2.01
