Run,Step,Episode Length
0,0,2.0
0,1,6.0
0,2,6.0
0,3,3.0
0,4,2.0
0,5,6.0
0,6,3.0
0,7,2.0
0,8,3.0
0,9,3.0
0,10,6.0
0,11,6.0
0,12,6.0
0,13,6.0
0,14,5.0
0,15,5.0
0,16,3.0
0,17,6.0
0,18,2.0
0,19,3.0
0,20,5.0
0,21,2.0
0,22,4.0
0,23,2.0
0,24,6.0
0,25,6.0
0,26,6.0
0,27,2.0
0,28,6.0
0,29,6.0
0,30,6.0
0,31,6.0
0,32,5.0
0,33,6.0
0,34,6.0
0,35,6.0
0,36,6.0
0,37,3.0
0,38,6.0
0,39,6.0
0,40,6.0
0,41,6.0
0,42,6.0
0,43,6.0
0,44,5.0
0,45,6.0
0,46,4.0
0,47,6.0
0,48,6.0
0,49,6.0
0,50,6.0
0,51,4.0
0,52,6.0
0,53,3.0
0,54,5.0
0,55,5.0
0,56,3.0
0,57,6.0
0,58,2.0
0,59,5.0
0,60,5.0
0,61,4.0
0,62,3.0
0,63,6.0
0,64,6.0
0,65,6.0
0,66,5.0
0,67,2.0
0,68,2.0
0,69,5.0
0,70,6.0
0,71,6.0
0,72,2.0
0,73,3.0
0,74,2.0
0,75,6.0
0,76,4.0
0,77,6.0
0,78,5.0
0,79,6.0
0,80,4.0
0,81,6.0
0,82,2.0
0,83,6.0
0,84,3.0
0,85,2.0
0,86,2.0
0,87,5.0
0,88,5.0
0,89,3.0
0,90,5.0
0,91,5.0
0,92,6.0
0,93,3.0
0,94,6.0
0,95,6.0
0,96,3.0
0,97,2.0
0,98,2.0
0,99,4.0
0,100,6.0
0,101,6.0
0,102,6.0
0,103,3.0
0,104,3.0
0,105,2.0
0,106,2.0
0,107,2.0
0,108,3.0
0,109,6.0
0,110,4.0
0,111,6.0
0,112,6.0
0,113,6.0
0,114,6.0
0,115,2.0
0,116,6.0
0,117,3.0
0,118,6.0
0,119,6.0
0,120,6.0
0,121,6.0
0,122,3.0
0,123,2.0
0,124,2.0
0,125,3.0
0,126,4.0
0,127,2.0
0,128,2.0
0,129,6.0
0,130,6.0
0,131,6.0
0,132,6.0
0,133,5.0
0,134,6.0
0,135,6.0
0,136,6.0
0,137,6.0
0,138,5.0
0,139,2.0
0,140,5.0
0,141,3.0
0,142,4.0
0,143,5.0
0,144,3.0
0,145,3.0
0,146,3.0
0,147,5.0
0,148,6.0
0,149,6.0
0,150,2.0
0,151,3.0
0,152,6.0
0,153,2.0
0,154,2.0
0,155,3.0
