Run,Step,Reward
0,0,0.92
0,1,1.08
0,2,1.27
0,3,1.54
0,4,1.55
0,5,1.61
0,6,1.45
0,7,1.51
0,8,1.61
0,9,1.56
0,10,1.54
0,11,1.53
0,12,1.53
0,13,1.4
0,14,1.64
0,15,1.57
0,16,1.45
0,17,1.54
0,18,1.58
0,19,1.56
0,20,1.51
0,21,1.83
0,22,1.81
0,23,1.91
0,24,1.91
0,25,2.0
0,26,1.99
0,27,1.88
0,28,2.06
0,29,2.1
0,30,1.92
0,31,2.06
0,32,1.86
0,33,2.07
0,34,2.03
0,35,2.08
0,36,1.95
0,37,2.09
0,38,2.24
0,39,2.0
0,40,1.98
0,41,2.02
0,42,2.0
0,43,2.14
0,44,1.99
0,45,2.02
0,46,2.06
0,47,1.93
0,48,1.9
0,49,2.09
